audit_id,audit_label,audit_device_type,audit_notes
42d2261a91607470,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
06910762b6e1db3e,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
fbcce451101e67d3,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
00cabe4921790c98,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
11158cf4e4695671,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
4b4c1ec5946c934a,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
69eac9e0e8624f3e,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
2ec8f43e0b95a0aa,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
c913d9a0bb5dd0fc,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
8562544b37b601ab,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
5aabb8073bad05ed,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
efccc7ea9748c202,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
61e2f7413bdd27f1,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
95fd84c12f2672de,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
355f631ef6fad231,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
707350d7a4af3f12,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
c56645ff4c917480,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
533d41a6b5750ddf,correct_target,smart_plug,Manual Metadata review: product identity and smart-control evidence support the assigned target device type.
