file_id,record_type,domain,field,observed,is_core_field,object_denominator,occurrence_count,key_absent_count,null_count,empty_string_count,effective_missing_count,key_absent_rate,effective_missing_rate,type_counts_json
meta_electronics,metadata,Electronics,author,True,False,1610012,1061,1608951,585,0,1609536,0.9993409987006308,0.9997043500296893,"{""null"":585,""object"":476}"
meta_electronics,metadata,Electronics,average_rating,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""number"":1610012}"
meta_electronics,metadata,Electronics,bought_together,True,False,1610012,1610012,0,1610012,0,1610012,0.0,1.0,"{""null"":1610012}"
meta_electronics,metadata,Electronics,categories,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""array"":1610012}"
meta_electronics,metadata,Electronics,description,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""array"":1610012}"
meta_electronics,metadata,Electronics,details,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""object"":1610012}"
meta_electronics,metadata,Electronics,features,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""array"":1610012}"
meta_electronics,metadata,Electronics,images,True,False,1610012,1610012,0,0,0,0,0.0,0.0,"{""array"":1610012}"
meta_electronics,metadata,Electronics,main_category,True,True,1610012,1610012,0,106334,0,106334,0.0,0.06604547046854309,"{""null"":106334,""string"":1503678}"
meta_electronics,metadata,Electronics,parent_asin,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""string"":1610012}"
meta_electronics,metadata,Electronics,price,True,True,1610012,1610012,0,1083247,0,1083247,0.0,0.6728192088009282,"{""null"":1083247,""number"":526449,""string"":316}"
meta_electronics,metadata,Electronics,rating_number,True,True,1610012,1610012,0,0,0,0,0.0,0.0,"{""integer"":1610012}"
meta_electronics,metadata,Electronics,store,True,True,1610012,1610012,0,9520,2,9522,0.0,0.005914241632981617,"{""null"":9520,""string"":1600492}"
meta_electronics,metadata,Electronics,subtitle,True,False,1610012,1061,1608951,210,0,1609161,0.9993409987006308,0.9994714325110621,"{""null"":210,""string"":851}"
meta_electronics,metadata,Electronics,title,True,True,1610012,1610012,0,0,94,94,0.0,5.838465800254905e-05,"{""string"":1610012}"
meta_electronics,metadata,Electronics,videos,True,False,1610012,1610012,0,0,0,0,0.0,0.0,"{""array"":1610012}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,author,True,False,3735584,23,3735561,22,0,3735583,0.9999938429975073,0.9999997323042394,"{""null"":22,""object"":1}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,average_rating,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""number"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,bought_together,True,False,3735584,3735584,0,3735584,0,3735584,0.0,1.0,"{""null"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,categories,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""array"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,description,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""array"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,details,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""object"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,features,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""array"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,images,True,False,3735584,3735584,0,0,0,0,0.0,0.0,"{""array"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,main_category,True,True,3735584,3735584,0,363310,0,363310,0.0,0.09725654676752016,"{""null"":363310,""string"":3372274}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,parent_asin,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""string"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,price,True,True,3735584,3735584,0,2456676,0,2456676,0.0,0.6576417502591295,"{""null"":2456676,""number"":1278904,""string"":4}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,rating_number,True,True,3735584,3735584,0,0,0,0,0.0,0.0,"{""integer"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,store,True,True,3735584,3735584,0,83518,3,83521,0.0,0.022358217617379238,"{""null"":83518,""string"":3652066}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,subtitle,True,False,3735584,23,3735561,17,0,3735578,0.9999938429975073,0.9999983938254366,"{""null"":17,""string"":6}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,title,True,True,3735584,3735584,0,0,217,217,0.0,5.8089980040604096e-05,"{""string"":3735584}"
meta_home_and_kitchen,metadata,Home_and_Kitchen,videos,True,False,3735584,3735584,0,0,0,0,0.0,0.0,"{""array"":3735584}"
reviews_electronics,reviews,Electronics,asin,True,True,43886944,43886944,0,0,0,0,0.0,0.0,"{""string"":43886944}"
reviews_electronics,reviews,Electronics,helpful_vote,True,True,43886944,43886944,0,0,0,0,0.0,0.0,"{""integer"":43886944}"
reviews_electronics,reviews,Electronics,images,True,True,43886944,43886944,0,0,0,0,0.0,0.0,"{""array"":43886944}"
reviews_electronics,reviews,Electronics,parent_asin,True,True,43886944,43886944,0,0,0,0,0.0,0.0,"{""string"":43886944}"
reviews_electronics,reviews,Electronics,rating,True,True,43886944,43886944,0,0,0,0,0.0,0.0,"{""number"":43886944}"
